sample_id,pair_id,source_image_id,target_image_id,source_concept,target_concept,layer,R,T,B,G,tensor_shape
pair_13_12,pair_13,000000000998,000000091969,access,cupcake,7,0.4935087263584137,0.2717903256416321,0.30685970187187195,-0.03506937623023987,"(1, 577, 1024)"
pair_13_12,pair_13,000000000998,000000091969,access,cupcake,8,0.45953887701034546,0.24892763793468475,0.28381773829460144,-0.03489010035991669,"(1, 577, 1024)"
pair_13_12,pair_13,000000000998,000000091969,access,cupcake,9,0.4347434341907501,0.23345786333084106,0.26515671610832214,-0.03169885277748108,"(1, 577, 1024)"
pair_13_12,pair_13,000000000998,000000091969,access,cupcake,10,0.393588125705719,0.22106805443763733,0.25859230756759644,-0.037524253129959106,"(1, 577, 1024)"
pair_13_12,pair_13,000000000998,000000091969,access,cupcake,11,0.38752084970474243,0.23519279062747955,0.21436424553394318,0.020828545093536377,"(1, 577, 1024)"
pair_13_12,pair_13,000000000998,000000091969,access,cupcake,12,0.2782108187675476,0.39039644598960876,0.14998067915439606,0.2404157668352127,"(1, 577, 1024)"
pair_13_12,pair_13,000000000998,000000091969,access,cupcake,13,0.10643377155065536,0.6004289388656616,0.05388808995485306,0.5465408489108086,"(1, 577, 1024)"
pair_13_12,pair_13,000000000998,000000091969,access,cupcake,14,0.09268230199813843,0.6153281927108765,0.047365523874759674,0.5679626688361168,"(1, 577, 1024)"
pair_13_12,pair_13,000000000998,000000091969,access,cupcake,15,0.0854669138789177,0.6214684844017029,0.036019764840602875,0.5854487195611,"(1, 577, 1024)"
pair_13_12,pair_13,000000000998,000000091969,access,cupcake,16,0.09857448935508728,0.6384056806564331,0.0427999384701252,0.5956057421863079,"(1, 577, 1024)"
pair_13_12,pair_13,000000000998,000000091969,access,cupcake,17,0.13620270788669586,0.6578448414802551,0.06991618871688843,0.5879286527633667,"(1, 577, 1024)"
pair_13_12,pair_13,000000000998,000000091969,access,cupcake,18,0.15606345236301422,0.6704102158546448,0.08674195408821106,0.5836682617664337,"(1, 577, 1024)"
pair_13_12,pair_13,000000000998,000000091969,access,cupcake,19,0.19994202256202698,0.6917271614074707,0.12604142725467682,0.5656857341527939,"(1, 577, 1024)"
pair_13_12,pair_13,000000000998,000000091969,access,cupcake,20,0.2993846535682678,0.7574015855789185,0.21981991827487946,0.537581667304039,"(1, 577, 1024)"
pair_13_12,pair_13,000000000998,000000091969,access,cupcake,21,0.5037336945533752,0.9318458437919617,0.46077844500541687,0.4710673987865448,"(1, 577, 1024)"
pair_13_12,pair_13,000000000998,000000091969,access,cupcake,22,0.4619291424751282,0.9219335317611694,0.4213099777698517,0.5006235539913177,"(1, 577, 1024)"
pair_13_12,pair_13,000000000998,000000091969,access,cupcake,23,0.4813106060028076,0.9190669655799866,0.4388192296028137,0.48024773597717285,"(1, 577, 1024)"
pair_13_12,pair_13,000000000998,000000091969,access,cupcake,24,0.5159796476364136,0.9212243556976318,0.4771157503128052,0.44410860538482666,"(1, 577, 1024)"
pair_13_13,pair_13,000000025497,000000022555,access,cupcake,0,0.8617159128189087,0.07395707815885544,0.07654263079166412,-0.0025855526328086853,"(1, 577, 1024)"
pair_13_13,pair_13,000000025497,000000022555,access,cupcake,1,0.7819505929946899,0.12099987268447876,0.1659596562385559,-0.04495978355407715,"(1, 577, 1024)"
pair_13_13,pair_13,000000025497,000000022555,access,cupcake,2,0.7079734802246094,0.18815293908119202,0.23303237557411194,-0.04487943649291992,"(1, 577, 1024)"
pair_13_13,pair_13,000000025497,000000022555,access,cupcake,3,0.6331561803817749,0.2106385976076126,0.2942222058773041,-0.08358360826969147,"(1, 577, 1024)"
pair_13_13,pair_13,000000025497,000000022555,access,cupcake,4,0.6111794114112854,0.26593345403671265,0.2867686450481415,-0.020835191011428833,"(1, 577, 1024)"
pair_13_13,pair_13,000000025497,000000022555,access,cupcake,5,0.5531353950500488,0.2637467682361603,0.26473039388656616,-0.0009836256504058838,"(1, 577, 1024)"
pair_13_13,pair_13,000000025497,000000022555,access,cupcake,6,0.5268787741661072,0.24814441800117493,0.2655961513519287,-0.017451733350753784,"(1, 577, 1024)"
pair_13_13,pair_13,000000025497,000000022555,access,cupcake,7,0.5066196322441101,0.26585477590560913,0.25616350769996643,0.0096912682056427,"(1, 577, 1024)"
