layer_i,layer_j,block_i,block_j,source,adversarial,target,delta_adv_minus_source
14,17,middle,deep,0.9227724671363832,0.6630415320396423,0.9123485088348388,-0.25973093509674083
14,18,middle,deep,0.9005690217018127,0.6114220023155212,0.8819457292556763,-0.2891470193862915
14,19,middle,deep,0.8685551881790161,0.5663877129554749,0.8532494902610779,-0.30216747522354126
14,20,middle,deep,0.7948043346405029,0.4847005307674408,0.7953982353210449,-0.31010380387306213
14,21,middle,deep,0.5716904997825623,0.294306606054306,0.5671569108963013,-0.2773838937282563
14,22,middle,deep,0.6250379681587219,0.3245986402034759,0.6194050908088684,-0.300439327955246
14,23,middle,deep,0.6459420323371887,0.3351624011993408,0.641022801399231,-0.3107796311378479
14,24,middle,deep,0.652722954750061,0.3391436338424682,0.6463994383811951,-0.31357932090759283
15,16,middle,middle,0.9803785681724548,0.92320054769516,0.978499174118042,-0.05717802047729481
15,17,middle,deep,0.9469021558761596,0.81892329454422,0.9418923258781432,-0.1279788613319396
15,18,middle,deep,0.9201464653015136,0.7698186635971069,0.9112853407859802,-0.15032780170440663
15,19,middle,deep,0.8854253888130188,0.7091436982154846,0.876702606678009,-0.17628169059753418
15,20,middle,deep,0.7749820947647095,0.569095253944397,0.7825080156326294,-0.2058868408203125
15,21,middle,deep,0.519485354423523,0.3104715049266815,0.5176563858985901,-0.20901384949684143
15,22,middle,deep,0.5726029872894287,0.3436892926692962,0.5685481429100037,-0.2289136946201325
15,23,middle,deep,0.5957326292991638,0.3583233654499054,0.5928800702095032,-0.23740926384925842
15,24,middle,deep,0.6026818752288818,0.3649185299873352,0.5978460907936096,-0.23776334524154663
16,17,middle,deep,0.9705026745796204,0.922026753425598,0.9701700806617736,-0.04847592115402233
16,18,middle,deep,0.9473204612731934,0.8784539103507996,0.9417627453804016,-0.0688665509223938
16,19,middle,deep,0.9118196964263916,0.8169424533843994,0.90658038854599,-0.09487724304199219
16,20,middle,deep,0.802537202835083,0.6806854009628296,0.8145841956138611,-0.12185180187225342
